index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
Medium,44359.0,288.0,14.0,1127.0,38094.0,86369.0,859.0,98.0,728.0,18.0
Small,14674.0,38.0,0.0,67.0,12165.0,32755.0,294.0,0.0,162.0,0.0
Large,5153.0,18.0,0.0,106.0,2874.0,5901.0,74.0,0.0,26.0,0.0
