index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
Three,24235.0,100.0,14.0,459.0,20107.0,46275.0,471.0,47.0,465.0,10.0
TwoPointFive,20124.0,188.0,0.0,668.0,17987.0,40094.0,388.0,51.0,263.0,8.0
Two,12421.0,22.0,0.0,67.0,7348.0,21882.0,138.0,0.0,141.0,0.0
OnePointFive,2253.0,16.0,0.0,0.0,4817.0,10873.0,156.0,0.0,21.0,0.0
FourPointFive,382.0,14.0,0.0,102.0,604.0,1766.0,23.0,0.0,12.0,0.0
ThreePointFive,4771.0,4.0,0.0,4.0,2270.0,4135.0,51.0,0.0,14.0,0.0
