index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
Ceiba,13550,36,0,22,9807,28986,265,98,246,4
Culebra,13475,12,0,14,7091,17955,138,0,64,7
Guanica,8594,25,14,348,2107,6539,38,0,8,2
Guayama,1534,53,0,6,2412,5662,38,0,5,0
Isabella,2244,28,0,125,8353,12167,216,0,69,0
Luquillo,6718,16,0,80,7005,17352,117,0,327,4
Ponce,4496,24,0,72,4121,12228,78,0,35,0
Rincon,13575,150,0,633,12237,24136,337,0,162,1
