index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes
Ceiba,13550,36,22,39402,4
Culebra,13475,12,14,25248,7
Guanica,8594,25,362,8692,2
Guayama,1534,53,6,8117,0
Isabella,2244,28,125,20805,0
Luquillo,6718,16,80,24801,4
Ponce,4496,24,72,16462,0
Rincon,13575,150,633,36872,1
