index,k__Bacteria;__;__;__,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales
Medium,40600.0,198.0,0.0,669.0,29135.0,71046.0,31.0,732.0,8.0,56.0,42.0,472.0,12.0
Calm,14624.0,102.0,14.0,426.0,8640.0,24417.0,12.0,154.0,0.0,0.0,0.0,48.0,2.0
Strong,8962.0,44.0,0.0,205.0,15358.0,29487.0,32.0,331.0,2.0,0.0,0.0,396.0,4.0
