index,k__Bacteria;__;__;__;__;__,k__Bacteria;p__Bacteroidetes;__;__;__;__,k__Bacteria;p__Firmicutes;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__,k__Bacteria;p__Proteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__;__;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Candidatus Hepatoplasma
Medium,40600.0,198.0,0.0,629.0,34.0,6.0,29135.0,71046.0,23.0,4.0,4.0,732.0,8.0,56.0,42.0,472.0,12.0
Calm,14624.0,102.0,14.0,426.0,0.0,0.0,8640.0,24417.0,10.0,2.0,0.0,154.0,0.0,0.0,0.0,48.0,2.0
Strong,8962.0,44.0,0.0,198.0,0.0,7.0,15358.0,29487.0,9.0,15.0,8.0,331.0,2.0,0.0,0.0,396.0,4.0
