index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes
Medium,40600.0,198.0,669.0,101522.0,12.0
Calm,14624.0,102.0,440.0,33271.0,2.0
Strong,8962.0,44.0,205.0,45606.0,4.0
