index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
Medium,40600.0,198.0,0.0,669.0,29135.0,71077.0,740.0,98.0,472.0,12.0
Calm,14624.0,102.0,14.0,426.0,8640.0,24429.0,154.0,0.0,48.0,2.0
Strong,8962.0,44.0,0.0,205.0,15358.0,29519.0,333.0,0.0,396.0,4.0
