SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
8	1111	1691	1691
9	1111	1157	1157
10	1111	15332	15332
11	1111	32355	32355
12	1111	13022	13022
13	1111	260	260
14	1111	9606	9606
15	1111	3033	3033
16	1111	2138	2138
17	1111	1683	1683
18	1111	6980	6980
19	1111	11777	11777
20	1111	11673	11673
21	1111	1503	1503
22	1111	33	33
23	1111	17157	17157
24	1111	91777	91777
0	1112	270751	13555
1	1112	5618	5618
2	1112	808	808
3	1112	2030	2030
4	1112	1048	1048
5	1112	633	633
6	1112	15776	15776
7	1112	2673	2673
8	1112	1346	1346
9	1112	874	874
10	1112	12515	12515
11	1112	26207	26207
12	1112	10594	10594
13	1112	172	172
14	1112	8165	8165
15	1112	2487	2487
16	1112	1827	1827
17	1112	1505	1505
18	1112	5592	5592
19	1112	9501	9501
20	1112	9578	9578
21	1112	1118	1118
22	1112	14	14
23	1112	14409	14409
24	1112	75259	75259
0	1113	226175	16824
1	1113	6714	6714
2	1113	994	994
3	1113	2607	2607
4	1113	1271	1271
5	1113	754	754
6	1113	19236	19236
7	1113	3227	3227
8	1113	1742	1742
9	1113	1128	1128
10	1113	15261	15261
11	1113	31791	31791
12	1113	12852	12852
13	1113	250	250
14	1113	9892	9892
15	1113	3084	3084
16	1113	2168	2168
17	1113	1725	1725
18	1113	6765	6765
19	1113	11788	11788
20	1113	11423	11423
21	1113	1433	1433
22	1113	18	18
23	1113	16980	16980
24	1113	91222	91222
0	1114	256579	18134
1	1114	5948	5948
2	1114	862	862
3	1114	2134	2134
4	1114	1143	1143
5	1114	620	620
6	1114	16681	16681
7	1114	2802	2802
8	1114	1476	1476
9	1114	990	990
10	1114	13217	13217
11	1114	27943	27943
12	1114	11282	11282
13	1114	195	195
14	1114	8615	8615
15	1114	2590	2590
16	1114	1877	1877
17	1114	1532	1532
18	1114	6082	6082
19	1114	10344	10344
20	1114	10343	10343
21	1114	1242	1242
22	1114	15	15
23	1114	15360	15360
24	1114	80628	80628
0	1115	246009	17843
1	1115	6105	6105
2	1115	901	901
3	1115	2319	2319
4	1115	1269	1269
5	1115	711	711
6	1115	17527	17527
7	1115	2978	2978
8	1115	1529	1529
9	1115	972	972
10	1115	14100	14100
11	1115	29478	29478
12	1115	11868	11868
13	1115	228	228
14	1115	8979	8979
15	1115	2767	2767
16	1115	1943	1943
17	1115	1659	1659
18	1115	6315	6315
19	1115	10581	10581
20	1115	10693	10693
21	1115	1315	1315
22	1115	23	23
23	1115	15775	15775
24	1115	84456	84456
0	1116	248620	20049
1	1116	5863	5863
2	1116	842	842
3	1116	2348	2348
4	1116	1171	1171
5	1116	683	683
6	1116	17149	17149
7	1116	3053	3053
8	1116	1506	1506
9	1116	972	972
10	1116	13833	13833
