Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
East,North,25,999,1.9509220989038951,0.029,0.093
East,South,14,999,1.489868447892651,0.1,0.2
East,West,16,999,1.7812233904506263,0.031,0.093
North,South,27,999,1.073693015424542,0.365,0.43799999999999994
North,West,29,999,1.2267901457275254,0.24,0.36
South,West,18,999,0.6900306532032021,0.8,0.8
