	SubjectID1	SubjectID2	Group1	Group2	Distance
10	A6	A1	Medium	Medium	0.4213553972497434
11	A6	A10	Medium	Medium	0.3510589895181253
12	A6	A2	Medium	Medium	0.47909542194244426
13	A6	A4	Medium	Medium	0.4652250461871623
14	A6	A5	Medium	Medium	0.29451974452868
15	A7	A1	Medium	Medium	0.42591590781666117
16	A7	A10	Medium	Medium	0.3889088887983755
17	A7	A2	Medium	Medium	0.5662346000365094
18	A7	A4	Medium	Medium	0.46703676660366317
19	A7	A5	Medium	Medium	0.30358004524215276
20	A7	A6	Medium	Medium	0.24336630428217632
21	A8	A1	Medium	Medium	0.48481681807745464
22	A8	A10	Medium	Medium	0.38809159343438454
23	A8	A2	Medium	Medium	0.5713067948197642
24	A8	A4	Medium	Medium	0.48574591445392307
25	A8	A5	Medium	Medium	0.37385570771565396
26	A8	A6	Medium	Medium	0.35354441156440014
27	A8	A7	Medium	Medium	0.35604893453639774
28	A9	A1	Medium	Medium	0.46285087360130883
29	A9	A10	Medium	Medium	0.40285131674415686
30	A9	A2	Medium	Medium	0.5629798866306341
31	A9	A4	Medium	Medium	0.51822174339518
32	A9	A5	Medium	Medium	0.44406884090749976
33	A9	A6	Medium	Medium	0.42255631072680594
34	A9	A7	Medium	Medium	0.37214082748747035
35	A9	A8	Medium	Medium	0.36944347718883397
36	B3	A1	Medium	Medium	0.49695618988263734
37	B3	A10	Medium	Medium	0.4245835141599166
38	B3	A2	Medium	Medium	0.40142051506148324
39	B3	A4	Medium	Medium	0.5175177713003529
40	B3	A5	Medium	Medium	0.38179011266440777
41	B3	A6	Medium	Medium	0.29093501987829784
42	B3	A7	Medium	Medium	0.40018509069699704
43	B3	A8	Medium	Medium	0.4292311733070449
44	B3	A9	Medium	Medium	0.46379478645382016
45	C2	A1	Medium	Medium	0.46198670352284205
46	C2	A10	Medium	Medium	0.5581996598587846
47	C2	A2	Medium	Medium	0.6827686140870171
48	C2	A4	Medium	Medium	0.5998459434624814
49	C2	A5	Medium	Medium	0.3565750188380115
50	C2	A6	Medium	Medium	0.43200275080630657
51	C2	A7	Medium	Medium	0.3162979332898991
52	C2	A8	Medium	Medium	0.4465856922082354
53	C2	A9	Medium	Medium	0.3610336223887007
54	C2	B3	Medium	Medium	0.47555678047290306
55	C3	A1	Medium	Medium	0.4646584808755967
56	C3	A10	Medium	Medium	0.30047005926745074
57	C3	A2	Medium	Medium	0.4695969954429099
58	C3	A4	Medium	Medium	0.4619650240390047
59	C3	A5	Medium	Medium	0.37450596945438525
60	C3	A6	Medium	Medium	0.43870053365974937
61	C3	A7	Medium	Medium	0.338750500107669
62	C3	A8	Medium	Medium	0.3420325204812803
63	C3	A9	Medium	Medium	0.2453729182875591
64	C3	B3	Medium	Medium	0.47316196227063856
65	C3	C2	Medium	Medium	0.43447425633773334
66	C5	A1	Medium	Medium	0.5294837691375243
67	C5	A10	Medium	Medium	0.4928908822627086
68	C5	A2	Medium	Medium	0.5955413729887321
69	C5	A4	Medium	Medium	0.6382813959572277
70	C5	A5	Medium	Medium	0.4648148064157562
71	C5	A6	Medium	Medium	0.43479028020791616
72	C5	A7	Medium	Medium	0.4394255410137031
73	C5	A8	Medium	Medium	0.4900519692954753
74	C5	A9	Medium	Medium	0.47634360500078293
75	C5	B3	Medium	Medium	0.4871478612227048
76	C5	C2	Medium	Medium	0.47702879309870905
77	C5	C3	Medium	Medium	0.45580396023832975
78	D1	A1	Medium	Medium	0.589737634967602
79	D1	A10	Medium	Medium	0.3453844286628382
80	D1	A2	Medium	Medium	0.461356565767257
81	D1	A4	Medium	Medium	0.5779255326960532
82	D1	A5	Medium	Medium	0.5590996816465059
83	D1	A6	Medium	Medium	0.4498985433108593
84	D1	A7	Medium	Medium	0.46463214399090835
85	D1	A8	Medium	Medium	0.446242394718866
86	D1	A9	Medium	Medium	0.4002823649480278
87	D1	B3	Medium	Medium	0.4163689371444043
88	D1	C2	Medium	Medium	0.5466377201280949
89	D1	C3	Medium	Medium	0.38231001962596145
90	D1	C5	Medium	Medium	0.48096193139713184
91	D2	A1	Medium	Medium	0.45159063214024353
92	D2	A10	Medium	Medium	0.3234283048333058
93	D2	A2	Medium	Medium	0.5227644284905825
94	D2	A4	Medium	Medium	0.4902214450457579
95	D2	A5	Medium	Medium	0.3972453250327189
96	D2	A6	Medium	Medium	0.3992149323125173
