Group 1,Group 2,H,p-value,q-value
East (n=6),North (n=19),0.004048582995963557,0.9492660568720854,0.9492660568720854
East (n=6),South (n=8),0.06666666666666998,0.7962534147376342,0.9492660568720854
East (n=6),West (n=10),0.9529411764705884,0.32897177441062164,0.9492660568720854
North (n=19),South (n=8),0.04511278195488444,0.8317967818365097,0.9492660568720854
North (n=19),West (n=10),0.3031578947368416,0.5819094438689295,0.9492660568720854
South (n=8),West (n=10),0.03157894736842337,0.8589549227374772,0.9492660568720854
