index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
Rincon,13575.0,150.0,0.0,633.0,12237.0,24136.0,337.0,0.0,162.0,1.0
Ponce,4496.0,24.0,0.0,72.0,4121.0,12228.0,78.0,0.0,35.0,0.0
Isabella,2244.0,28.0,0.0,125.0,8353.0,12167.0,216.0,0.0,69.0,0.0
Luquillo,6718.0,16.0,0.0,80.0,7005.0,17352.0,117.0,0.0,327.0,4.0
Culebra,13475.0,12.0,0.0,14.0,7091.0,17955.0,138.0,0.0,64.0,7.0
Guayama,1534.0,53.0,0.0,6.0,2412.0,5662.0,38.0,0.0,5.0,0.0
Ceiba,13550.0,36.0,0.0,22.0,9807.0,28986.0,265.0,98.0,246.0,4.0
Guanica,8594.0,25.0,14.0,348.0,2107.0,6539.0,38.0,0.0,8.0,2.0
