index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes
Rincon,13575.0,150.0,633.0,36872.0,1.0
Ponce,4496.0,24.0,72.0,16462.0,0.0
Isabella,2244.0,28.0,125.0,20805.0,0.0
Luquillo,6718.0,16.0,80.0,24801.0,4.0
Culebra,13475.0,12.0,14.0,25248.0,7.0
Guayama,1534.0,53.0,6.0,8117.0,0.0
Ceiba,13550.0,36.0,22.0,39402.0,4.0
Guanica,8594.0,25.0,362.0,8692.0,2.0
