Group 1,Group 2,H,p-value,q-value
East (n=6),North (n=19),3.890688259109325,0.048554521868223656,0.29132713120934195
East (n=6),South (n=8),2.0166666666666657,0.1555803477921939,0.3111606955843878
East (n=6),West (n=10),2.3058823529411825,0.12888507323288875,0.3111606955843878
North (n=19),South (n=8),1.3646616541353467,0.24273120724027536,0.36409681086041307
North (n=19),West (n=10),0.0189473684210526,0.8905174796760388,0.8905174796760388
South (n=8),West (n=10),0.5052631578947384,0.4771966199887694,0.5726359439865233
