index,k__Bacteria;__;__;__,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales
Rocky Reef,13575.0,150.0,0.0,633.0,12237.0,24122.0,14.0,335.0,2.0,0.0,0.0,162.0,1.0
Rocks,14624.0,102.0,14.0,426.0,8640.0,24417.0,12.0,154.0,0.0,0.0,0.0,48.0,2.0
Spur & Groove Reef,5226.0,45.0,0.0,131.0,10223.0,17318.0,15.0,258.0,2.0,14.0,11.0,91.0,0.0
Seagrass,6718.0,16.0,0.0,80.0,7005.0,17328.0,24.0,117.0,0.0,0.0,0.0,327.0,4.0
Reef Rubble,13475.0,12.0,0.0,14.0,7091.0,17947.0,8.0,134.0,4.0,0.0,0.0,64.0,7.0
Patch Reef,10568.0,19.0,0.0,16.0,7937.0,23818.0,2.0,219.0,2.0,42.0,31.0,224.0,4.0
