sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-631_iter-1,depth-631_iter-2,depth-631_iter-3,depth-631_iter-4,depth-631_iter-5,depth-631_iter-6,depth-631_iter-7,depth-631_iter-8,depth-631_iter-9,depth-631_iter-10,depth-1262_iter-1,depth-1262_iter-2,depth-1262_iter-3,depth-1262_iter-4,depth-1262_iter-5,depth-1262_iter-6,depth-1262_iter-7,depth-1262_iter-8,depth-1262_iter-9,depth-1262_iter-10,depth-1893_iter-1,depth-1893_iter-2,depth-1893_iter-3,depth-1893_iter-4,depth-1893_iter-5,depth-1893_iter-6,depth-1893_iter-7,depth-1893_iter-8,depth-1893_iter-9,depth-1893_iter-10,depth-2523_iter-1,depth-2523_iter-2,depth-2523_iter-3,depth-2523_iter-4,depth-2523_iter-5,depth-2523_iter-6,depth-2523_iter-7,depth-2523_iter-8,depth-2523_iter-9,depth-2523_iter-10,depth-3154_iter-1,depth-3154_iter-2,depth-3154_iter-3,depth-3154_iter-4,depth-3154_iter-5,depth-3154_iter-6,depth-3154_iter-7,depth-3154_iter-8,depth-3154_iter-9,depth-3154_iter-10,depth-3785_iter-1,depth-3785_iter-2,depth-3785_iter-3,depth-3785_iter-4,depth-3785_iter-5,depth-3785_iter-6,depth-3785_iter-7,depth-3785_iter-8,depth-3785_iter-9,depth-3785_iter-10,depth-4415_iter-1,depth-4415_iter-2,depth-4415_iter-3,depth-4415_iter-4,depth-4415_iter-5,depth-4415_iter-6,depth-4415_iter-7,depth-4415_iter-8,depth-4415_iter-9,depth-4415_iter-10,depth-5046_iter-1,depth-5046_iter-2,depth-5046_iter-3,depth-5046_iter-4,depth-5046_iter-5,depth-5046_iter-6,depth-5046_iter-7,depth-5046_iter-8,depth-5046_iter-9,depth-5046_iter-10,depth-5677_iter-1,depth-5677_iter-2,depth-5677_iter-3,depth-5677_iter-4,depth-5677_iter-5,depth-5677_iter-6,depth-5677_iter-7,depth-5677_iter-8,depth-5677_iter-9,depth-5677_iter-10,Size,Reef_Habitat,Location,Latitude_Longitude
E7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.772947714276523,4.744934410572631,4.6606432719368485,4.805028313194667,4.663908259991367,4.724528668047242,4.755272488334468,4.803472607504296,4.701816555843754,4.719616798793495,4.797494289894862,4.78338367413221,4.826481877869249,4.815218428157934,4.846188695679493,4.795878784780257,4.787474590141114,4.803578965580417,4.822472215618703,4.852430512898893,4.775273630324342,4.778389538935018,4.791183028677431,4.836064488142169,4.819344228391613,4.818894768619084,4.788989445658788,4.778718350509619,4.84561490443749,4.760752872347725,4.81538715910761,4.84908396324657,4.856318909027646,4.783621710739988,4.8383808197014755,4.829219447738493,4.799084705537818,4.830396326793834,4.8108510022530435,4.838488228394975,4.8316967633182815,4.8015115051891835,4.841374181594723,4.805882654675006,4.854520325469695,4.840365135283374,4.820448423971245,4.8536577648864,4.839883652276366,4.819968794035048,4.819978408367121,4.831948346196344,4.824866607832486,4.826420396258801,4.808530629762091,4.819068278231434,4.824876428173909,4.823445715092462,4.831736350241694,4.830748150575761,4.850840046608419,4.851851560775977,4.846453572513436,4.853033446512145,4.823346404285933,4.840704664383153,4.807828761117199,4.8309386539518195,4.851997298406351,4.832468741541289,4.823587661959918,4.831319150343335,4.835292802379505,4.828146484552904,4.843212528685691,4.833481992763591,4.833652023467135,4.822960338357711,4.840835542501045,4.840847682695274,4.829315671049726,4.844355992074762,4.840107355208443,4.831456864606388,4.839685067834332,4.840425983980858,4.84094405348679,4.840120848713117,4.832746906659645,4.843905065277018,ThreePointFive,Reef Rubble,Culebra,"18.302451, -65.309386"
H1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.560391057534281,4.522206997785121,4.325003474590609,4.474850640595849,4.583766246612027,4.630408912378157,4.567416896201238,4.599569134055831,4.485805584021054,4.5689967430592064,4.4666751338145945,4.581341005514778,4.525333215838768,4.588243960722037,4.544096892172303,4.542394397565536,4.481466963667117,4.543013875416623,4.594991023843365,4.554509619372657,4.621853362922574,4.624512242058858,4.661649799293267,4.670140980137662,4.61445312793929,4.553169777899265,4.556068879272952,4.590999943051526,4.577190116498672,4.647064886502956,4.679709614482115,4.604107988269705,4.60404363932409,4.570050582050716,4.6174926273784695,4.65596528399917,4.585560186380129,4.5720760988400855,4.619296122243908,4.626624468509899,4.610141252042277,4.619082427942289,4.616829184752862,4.608186008783934,4.627027106037611,4.583482970731519,4.606515726820606,4.574100518531255,4.583566102035897,4.616644352717094,4.646267388068832,4.625163957260958,4.620468665475283,4.6355760113780775,4.6176851549023,4.615902983575631,4.630405801154258,4.6359663597477825,4.624689477523097,4.629505902255195,4.633059533990422,4.627363763898432,4.627416205793142,4.623315104818428,4.605971059770327,4.636951296746782,4.657301202006678,4.625729421017355,4.624554797964215,4.618892133740911,4.627273868421828,4.626586121515158,4.616248331743278,4.615534693900538,4.634540124489009,4.622680011168345,4.640894587974607,4.611548827827414,4.6188439393318665,4.634233953159454,,,,,,,,,,,Two,Rocks,Guanica,"17.934784, -66.957102"
D1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.68310120236277,4.7462475983312045,4.961948178791839,4.785719884688691,4.676155090891802,4.788740018084216,4.752105986566125,4.8111008117726515,4.8197777194066616,4.803425578179097,4.812024888115664,4.920700055626966,4.859125321009587,4.828221412005291,4.865319827613173,4.877287474123893,4.813256014039602,4.868541128414127,5.014240566455203,4.90009023100364,4.824753613320643,4.847427268876162,4.935652663448931,4.837364244996899,4.962523881260034,4.836102529520339,4.868487755934841,4.900963521590497,4.898147884829115,4.857763921049039,4.911889686155895,4.944932737308092,4.906560913295832,4.8766923341789985,4.896580508017488,4.916063034036235,4.8763046877189495,4.921992035785878,4.86755583596769,4.895921274845642,4.955302726778273,4.912311024450761,4.872099897462228,4.902118235058159,4.871754247092478,4.922005893395291,4.93085934565185,4.956706891339988,4.912764731368641,4.879386379640832,4.9199169038235935,4.935008509868243,4.913854388127227,4.843713098692055,4.914790937054657,4.901888827565527,4.92300765973393,4.897012703562289,4.947445480409238,4.9358431866363315,4.926990268342282,4.907394425876328,4.943322368374331,4.906639863346777,4.906483150809742,4.8904259512662165,4.928236941777544,4.922946769718239,4.912886635818112,4.907886283896519,4.909837231343126,4.8893731491494,4.9073752156101,4.910364405011312,4.922717894865123,4.90898137014069,4.910127799880421,4.911046129327946,4.916166306800899,4.919906885689361,4.9277165236945955,4.912036407680327,4.915695037461771,4.919668183998999,4.933711137716967,4.918118462965428,4.930863726096278,4.922648067976422,4.934381413951556,4.918060177303757,TwoPointFive,Seagrass,Luquillo,"18.387573, -65.719616"
G6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.699091949165738,4.59364440615338,4.68546954700679,4.691220038633192,4.739599934776672,4.748428447777753,4.8130352938329946,4.755894651955005,4.731030543646961,4.7168936956294285,4.680051352544557,4.698571370898036,4.600797466600693,4.752962769477945,4.661324395609788,4.704330062563037,4.72347685019355,4.790491591445182,4.738491344744405,4.760239042870407,4.776265575611852,4.8177732615482505,4.760110463708883,4.7455961617057145,4.765140288870913,4.765338402638126,4.819602749365603,4.791451780058686,4.76702686710777,4.780052473822671,4.765337884743656,4.748631212796458,4.838150006873204,4.7883759599527265,4.767326275717596,4.7788933215873985,4.823891171908289,4.754431279654584,4.765708122762729,4.794862540886529,4.748245542243337,4.779833633019625,4.816410504756999,4.806135184704813,4.806269779207559,4.798582127481157,4.798415042639386,4.803784291568466,4.774730017752607,4.778798458329087,4.806360478044014,4.829911994950967,4.763327796139526,4.778028268474449,4.8026739054536405,4.791298099205444,4.818552500940562,4.774130753002963,4.759661260314017,4.79892963969533,4.773607295052499,4.763791902051791,4.79471730614741,4.80722337906621,4.7825917586136715,4.80495675691622,4.79805800226113,4.79998478206356,4.780307454081817,4.814171601193153,4.802682721668324,4.786485287319591,4.793683224663615,4.790486612623741,4.783044294739827,4.781558064364958,4.807769764953608,4.801607214521782,4.793514112473573,4.790424207165834,,,,,,,,,,,TwoPointFive,Spur & Groove Reef,Ceiba,"18.218831, -65.604282"
G4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.384656725281493,5.282936361210251,5.237638983683589,5.283602827839168,5.279261335090306,5.24658791731364,5.320248289706796,5.321592951507228,5.32150718459524,5.343194000082628,5.3696088116302345,5.415262738486276,5.448510097635973,5.357455818555666,5.374802185593696,5.419158137468878,5.350457349857928,5.374656631010639,5.380928274839759,5.412294197155887,5.408511064957858,5.407526031005442,5.417642839102298,5.415066274323492,5.353156832153162,5.355594141424252,5.40099658498536,5.4643085722656535,5.399284878640913,5.397225067804482,5.405170070473892,5.402777154809334,5.408310602180172,5.431717651342471,5.395013345975715,5.4272667509250185,5.364250029883187,5.419740537587212,5.41934248673026,5.389587453560023,5.428728509467707,5.428038524806529,5.4137970619872,5.440165414116658,5.431609630046128,5.441358695066765,5.418434602959918,5.394071496449746,5.43806110601119,5.445745450483538,5.436417222815618,5.432420515412134,5.407475860202812,5.435101577629706,5.436322620120335,5.434617619162443,5.434755243271514,5.447768539287176,5.442423285190818,5.412779582973516,5.428771948961895,5.435627863128305,5.434990819357873,5.426392290506953,5.430448773918797,5.429512887719036,5.4343840007813276,5.428990234217259,5.428923862602599,5.431917916523438,,,,,,,,,,,,,,,,,,,,,TwoPointFive,Spur & Groove Reef,Ceiba,"18.218831, -65.604282"
G5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.721213872222379,4.756610046949164,4.8891256463118715,4.8398871023920025,4.926216371553294,4.667637008543934,4.786165173428742,4.717522422976202,4.755318842811275,4.91796958367413,4.878320489068656,4.8295630678997785,4.8884171814429855,4.811751326064526,4.849242758020384,4.833905277132933,4.8258295568394685,4.878090211361504,4.789004766841106,4.816667368030637,4.857997560401422,4.8855448261206345,4.786878095013454,4.841883608292937,4.874291004541337,4.850653099383515,4.783485204874807,4.836273580088654,4.780104732001805,4.90426870784972,4.796098902266352,4.869878282562592,4.901698095547746,4.87372794557134,4.904346229070394,4.897150667451047,4.846282612101786,4.828215462317833,4.839280717855915,4.882364704089862,4.875961692557961,4.910549703798917,4.8755443903815046,4.865309817343249,4.905523660901455,4.897213426648009,4.873708914923171,4.8562994431680115,4.8783976174510135,4.876325034307829,4.873760207163045,4.867245580312712,4.873554631895476,4.869590346678507,4.896092110929682,4.876908439027679,4.883294407132354,4.888803887953385,4.863212744732134,4.8973194674302984,4.893191679105903,4.87519414352755,4.894889933273662,4.8745339170474,4.8909237260842975,4.868456962886906,4.887735709942632,4.884824033130139,4.906928472147284,4.88438731209516,4.886865912056568,4.8812237286932625,4.881245673156628,4.864028659068682,4.8705120238651025,4.884715866225063,4.8887870434277625,4.893598761548718,4.89011116847401,4.886509037747733,,,,,,,,,,,TwoPointFive,Patch Reef,Ceiba,"18.218831, -65.604282"
A4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.701369578593394,5.698147084840623,5.868503611014158,5.726815200980822,5.915224414822086,5.670405525174473,5.68855300148191,5.577194393108371,5.636530282728332,5.768607305870026,5.852462458946491,5.7331056833448,5.85382564609339,5.871076594431082,5.754878755041089,5.824334275907811,5.856692768210218,5.760757330788019,5.907201933383797,5.865448920611209,5.91511320786376,5.893733945674862,5.839226920813262,5.89045579145369,5.849731604346175,5.824612182629277,5.878084280335669,5.8814550877715,5.833938199481392,5.916490022261019,5.831612807527906,5.883197559147542,5.889847693152271,5.905680249711508,5.894729806465968,5.860990780430575,5.882287217019793,5.8305871839361005,5.832851377395761,5.941670408118361,5.835022008218703,5.872493099820775,5.907831993123562,5.888712485183103,5.865242179843027,5.836566229299223,5.862605008426827,5.852671328151943,5.860297813627482,5.892702686118194,5.8956211528295785,5.899298104300611,5.86939122813178,5.913399005910933,5.896345697816685,5.908060150481211,5.869656934818752,5.896782589255862,5.885555542777713,5.864512759097042,5.89123207467457,5.879490107996172,5.898078501561499,5.867048439891312,5.881753035428887,5.904354125842489,5.868910686421906,5.855940377568702,5.903007964298665,5.904691130268906,5.9107171742578695,5.889989156989919,5.898109830646595,5.890344797081718,5.90172518046137,5.887806040234917,5.8794331217174856,5.9172236123379065,5.874460484659494,5.877511491567674,5.885403523427865,5.899542888737779,5.926822947306878,5.892832008278402,5.90568259475746,5.879852039193084,5.893967672481249,5.915658770203001,5.907794146201758,5.893384582066188,TwoPointFive,Rocky Reef,Rincon,"18.343114, -67.260138"
F2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.801608791679854,4.685286683568268,4.688162405753088,4.722044654419804,4.730911415519285,4.701224328131101,4.8012991170171695,4.755430765615226,4.6324582915827195,4.720847265390343,4.773281729963754,4.72565234168942,4.81169830283989,4.7592549831274455,4.743294103971911,4.860173664887369,4.691906397519402,4.873646049614477,4.691659608434012,4.81041711001968,4.76833572197451,4.780242024743395,4.873886584917118,4.75220263169437,4.749272908360009,4.84942928319241,4.785143012514459,4.736768889775144,4.808880288605379,4.8042789350543815,4.801477432312024,4.809394175521548,4.818754381351441,4.8255382771887705,4.8077024649981865,4.811975561772043,4.840968097495744,4.7592690998647535,4.753940421868163,4.804025348652971,4.838083210845423,4.78600921094992,4.794977039299347,4.828630077198068,4.783639364103648,4.823159810315076,4.778033246965671,4.8266992676890945,4.847850368244572,4.783896803102038,4.811361592818485,4.8335943191437964,4.82658156072353,4.826142538699622,4.810370440287412,4.792386353744261,4.75988533820273,4.824080902342903,4.797887367519509,4.796423466375154,4.802299564141488,4.8031112763983,4.799513288396945,4.822894809277147,4.836834411304951,4.798598385621933,4.789653941638187,4.786059193959826,4.813451637434917,4.8048548207381625,4.814719769057834,4.802537171997736,4.813483122788512,4.8056400167525615,4.802149097227301,4.823525672743383,4.801172941955386,4.818758751799799,4.794077051597127,4.809295355668458,,,,,,,,,,,OnePointFive,Rocks,Guayama,"17.929801, -66.158912"
G7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.9673326728563545,4.938995960169331,4.910825841214584,4.863299820656005,4.860476861222068,4.861504068693046,4.896775516049322,4.976698828586378,4.9151067736757055,4.806677113462717,4.956739232989662,4.883932004065629,4.887652371759984,4.902740199379409,4.925690500176047,4.876537610237648,4.974076654859783,4.925670407457304,4.8964457484588015,4.861669033273573,4.95755656153703,4.916916822469708,4.968621985551356,4.928898753995835,4.935737271983921,4.978453297828604,4.939877248986159,4.886283364863774,4.970856597349371,4.935644319002573,4.9424418921171105,4.919389109309622,4.932379770259465,4.9846269345072445,4.87100967560156,4.965939275644491,4.929022536522711,4.9047086052317885,4.965695397230025,4.92910725995422,4.957429841112704,4.933692689524645,4.926650972749303,4.95085836858231,4.907851532658828,4.942806845024474,4.952435580592656,4.964582322103358,4.981644035155158,4.971812830682565,4.965759491780693,4.930528726979832,4.981748037509599,4.97059931587544,4.951122621109476,4.96145311336204,4.948955806617818,4.946743310425783,4.971422796891147,4.928135583497212,4.942447415045635,4.923920650166622,4.937422874920879,4.952923659575151,4.971260833515397,4.966913732181605,4.923834157798602,4.936775987524866,4.944157254630674,4.9532375153259665,4.9330594739365585,4.937689548814539,4.956387650341604,4.961241793590932,4.942129492567704,4.954010123379352,4.95113446944206,4.967856421352591,4.971957198146509,4.963482331211089,4.9489024951903815,4.954533649743582,4.962921633186559,4.964661378145508,4.954333868260183,4.963319109944879,4.96615139335179,4.963281185151187,4.9517672490859335,4.952396738955892,TwoPointFive,Patch Reef,Ceiba,"18.218831, -65.604282"
A8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.250822852438786,5.263047359500329,5.22602939350616,5.265066098859369,5.184189101413866,5.231957834597374,5.183044766315561,5.361561599022886,5.227473666280961,5.307366838936834,5.314632903463153,5.336019906591318,5.393926280538135,5.356104233305311,5.2540086379928965,5.33811539709173,5.285322338816571,5.266490285136347,5.307986913252468,5.310961432384992,5.269963877204936,5.3279060680670245,5.308886781636474,5.371513025400192,5.368623536443467,5.290291872022426,5.314659559018533,5.323467181119528,5.343266140393813,5.341079955697818,5.381765735124592,5.313564425680844,5.329304005478931,5.338763133711984,5.351583687049777,5.357955217152823,5.364022436857695,5.321177675632927,5.332265539644143,5.341203647436881,5.344109601442584,5.344496376581823,5.342257534623708,5.354254959854627,5.347942700217412,5.363697361595721,5.3350664853313,5.34977639717712,5.376007910160573,5.353372908760298,5.3716846629949,5.37177854575198,5.362806155836173,5.351935078505836,5.3656316744101735,5.359471364984693,5.384876847157593,5.381415978177483,5.361582650820258,5.367465244099169,5.358326658290564,5.361613117000797,5.3641403978602185,5.366233893600819,5.361015156385397,5.370677394383266,5.36324386540026,5.35749456142541,5.360479557627001,5.352078161263717,5.363229780442026,5.362247747624447,5.369843794738424,5.364396553828881,5.364493983416002,5.365085505779494,5.367025670029599,5.363587036508281,5.36345417412347,5.365828682983882,,,,,,,,,,,Three,Rocky Reef,Rincon,"18.343114, -67.260138"
