index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes
Three,24235.0,100.0,473.0,67365.0,10.0
TwoPointFive,20124.0,188.0,668.0,58783.0,8.0
Two,12421.0,22.0,67.0,29509.0,0.0
OnePointFive,2253.0,16.0,0.0,15867.0,0.0
FourPointFive,382.0,14.0,102.0,2405.0,0.0
ThreePointFive,4771.0,4.0,4.0,6470.0,0.0
