index,k__Bacteria;__;__;__,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Firmicutes;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales,Size,Reef_Habitat,Location,ZipCode,Latitude_Longitude
G1,1786.0,0.0,0.0,14.0,1239.0,2827.0,0.0,27.0,0.0,0.0,0.0,18.0,0.0,TwoPointFive,Patch Reef,Ceiba,735.0,"18.218831, -65.604282"
A1,3220.0,0.0,0.0,0.0,1247.0,1058.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
D4,4646.0,6.0,0.0,18.0,1572.0,4149.0,2.0,30.0,0.0,0.0,0.0,0.0,4.0,TwoPointFive,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
D2,531.0,2.0,0.0,7.0,1056.0,2954.0,6.0,13.0,0.0,0.0,0.0,258.0,0.0,Three,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
C5,212.0,3.0,0.0,16.0,2843.0,2912.0,0.0,50.0,0.0,0.0,0.0,32.0,0.0,Three,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
A7,254.0,12.0,0.0,17.0,1319.0,3158.0,3.0,55.0,2.0,0.0,0.0,0.0,0.0,Three,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
E4,6091.0,0.0,0.0,5.0,924.0,3089.0,2.0,8.0,0.0,0.0,0.0,12.0,4.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
C4,382.0,14.0,0.0,102.0,604.0,1766.0,0.0,23.0,0.0,0.0,0.0,12.0,0.0,FourPointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
B2,366.0,0.0,0.0,65.0,1854.0,7056.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,Two,Rocks,Ponce,716.0,"17.964016, -66.609962"
A3,3329.0,0.0,0.0,0.0,1041.0,3032.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,Two,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
C1,151.0,2.0,0.0,0.0,2595.0,3707.0,3.0,95.0,2.0,0.0,0.0,19.0,0.0,OnePointFive,Spur & Groove Reef,Isabella,662.0,"18.515768, -67.100173"
D3,619.0,8.0,0.0,39.0,1888.0,4382.0,4.0,43.0,0.0,0.0,0.0,4.0,0.0,Three,Seagrass,Luquillo,773.0,"18.387573, -65.719616"
E2,198.0,2.0,0.0,0.0,998.0,3201.0,0.0,35.0,0.0,0.0,0.0,36.0,0.0,Three,Reef Rubble,Culebra,775.0,"18.302451, -65.309386"
A6,1125.0,18.0,0.0,31.0,351.0,1076.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TwoPointFive,Rocky Reef,Rincon,677.0,"18.343114, -67.260138"
