index,k__Bacteria;__;__,k__Bacteria;p__Bacteroidetes;__,k__Bacteria;p__Firmicutes;__,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Tenericutes;c__Mollicutes
West,13575.0,150.0,0.0,633.0,12237.0,24136.0,337.0,0.0,162.0,1.0
South,14624.0,102.0,14.0,426.0,8640.0,24429.0,154.0,0.0,48.0,2.0
North,22512.0,80.0,0.0,227.0,25165.0,58505.0,598.0,98.0,642.0,8.0
East,13475.0,12.0,0.0,14.0,7091.0,17955.0,138.0,0.0,64.0,7.0
