index,k__Bacteria;__,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Tenericutes
West,13575.0,150.0,633.0,36872.0,1.0
South,14624.0,102.0,440.0,33271.0,2.0
North,22512.0,80.0,227.0,85008.0,8.0
East,13475.0,12.0,14.0,25248.0,7.0
