index,k__Bacteria;__;__;__;__;__;__,k__Bacteria;p__Bacteroidetes;__;__;__;__;__,k__Bacteria;p__Firmicutes;__;__;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__;__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__;__,k__Bacteria;p__Proteobacteria;__;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__daejeonense,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;__;__;__;__,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Candidatus Hepatoplasma;s__
OnePointFive,2253,16,0,0,0,0,4817,10870,0,3,0,154,2,0,0,21,0
Two,12421,22,0,67,0,0,7348,21870,12,0,0,138,0,0,0,141,0
TwoPointFive,20124,188,0,630,34,4,17987,40062,12,18,2,386,2,25,26,263,8
Three,24235,100,14,450,0,9,20107,46247,18,0,10,469,2,31,16,465,10
ThreePointFive,4771,4,0,4,0,0,2270,4135,0,0,0,47,4,0,0,14,0
FourPointFive,382,14,0,102,0,0,604,1766,0,0,0,23,0,0,0,12,0
