	SubjectID1	SubjectID2	Group1	Group2	Distance
112	G8	H2	Ceiba	Guanica	0.32707205613240536
113	G8	H3	Ceiba	Guanica	0.26852867299493627
114	G9	H1	Ceiba	Guanica	0.40275600244782955
115	G9	H2	Ceiba	Guanica	0.4000311096974216
116	G9	H3	Ceiba	Guanica	0.32523392046916333
117	G1	F1	Ceiba	Guayama	0.5017271575886212
118	G1	F2	Ceiba	Guayama	0.4995193944707764
119	G2	F1	Ceiba	Guayama	0.3428101983891709
120	G2	F2	Ceiba	Guayama	0.38284968661053514
121	G3	F1	Ceiba	Guayama	0.491028152149242
122	G3	F2	Ceiba	Guayama	0.4559651166223831
123	G4	F1	Ceiba	Guayama	0.3659988772942494
124	G4	F2	Ceiba	Guayama	0.35376923102817415
125	G5	F1	Ceiba	Guayama	0.3793932659227796
126	G5	F2	Ceiba	Guayama	0.33479679555689623
127	G6	F1	Ceiba	Guayama	0.31993001455335296
128	G6	F2	Ceiba	Guayama	0.32309185144360847
129	G7	F1	Ceiba	Guayama	0.4198178130441638
130	G7	F2	Ceiba	Guayama	0.2688755918818812
131	G8	F1	Ceiba	Guayama	0.44702296926919133
132	G8	F2	Ceiba	Guayama	0.39584412538594904
133	G9	F1	Ceiba	Guayama	0.37243910654648676
134	G9	F2	Ceiba	Guayama	0.2951731729864154
135	G1	C1	Ceiba	Isabella	0.4324008985973955
136	G1	C2	Ceiba	Isabella	0.5775826839208691
137	G1	C3	Ceiba	Isabella	0.408931953250777
138	G1	C4	Ceiba	Isabella	0.37736277144827973
139	G1	C5	Ceiba	Isabella	0.4729295275102549
140	G2	C1	Ceiba	Isabella	0.40971744980266206
141	G2	C2	Ceiba	Isabella	0.4528646970347189
142	G2	C3	Ceiba	Isabella	0.38177566236045996
143	G2	C4	Ceiba	Isabella	0.49513469317791114
144	G2	C5	Ceiba	Isabella	0.3975503519399157
145	G3	C1	Ceiba	Isabella	0.5140415442332247
146	G3	C2	Ceiba	Isabella	0.39981320379497864
147	G3	C3	Ceiba	Isabella	0.566817134072833
148	G3	C4	Ceiba	Isabella	0.6245493294676936
149	G3	C5	Ceiba	Isabella	0.5653738249341055
150	G4	C1	Ceiba	Isabella	0.36857975671958565
151	G4	C2	Ceiba	Isabella	0.45612494886416954
152	G4	C3	Ceiba	Isabella	0.32268682181631747
153	G4	C4	Ceiba	Isabella	0.4925153979534823
154	G4	C5	Ceiba	Isabella	0.3862934101546525
