sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-631_iter-1,depth-631_iter-2,depth-631_iter-3,depth-631_iter-4,depth-631_iter-5,depth-631_iter-6,depth-631_iter-7,depth-631_iter-8,depth-631_iter-9,depth-631_iter-10,depth-1262_iter-1,depth-1262_iter-2,depth-1262_iter-3,depth-1262_iter-4,depth-1262_iter-5,depth-1262_iter-6,depth-1262_iter-7,depth-1262_iter-8,depth-1262_iter-9,depth-1262_iter-10,depth-1893_iter-1,depth-1893_iter-2,depth-1893_iter-3,depth-1893_iter-4,depth-1893_iter-5,depth-1893_iter-6,depth-1893_iter-7,depth-1893_iter-8,depth-1893_iter-9,depth-1893_iter-10,depth-2523_iter-1,depth-2523_iter-2,depth-2523_iter-3,depth-2523_iter-4,depth-2523_iter-5,depth-2523_iter-6,depth-2523_iter-7,depth-2523_iter-8,depth-2523_iter-9,depth-2523_iter-10,depth-3154_iter-1,depth-3154_iter-2,depth-3154_iter-3,depth-3154_iter-4,depth-3154_iter-5,depth-3154_iter-6,depth-3154_iter-7,depth-3154_iter-8,depth-3154_iter-9,depth-3154_iter-10,depth-3785_iter-1,depth-3785_iter-2,depth-3785_iter-3,depth-3785_iter-4,depth-3785_iter-5,depth-3785_iter-6,depth-3785_iter-7,depth-3785_iter-8,depth-3785_iter-9,depth-3785_iter-10,depth-4415_iter-1,depth-4415_iter-2,depth-4415_iter-3,depth-4415_iter-4,depth-4415_iter-5,depth-4415_iter-6,depth-4415_iter-7,depth-4415_iter-8,depth-4415_iter-9,depth-4415_iter-10,depth-5046_iter-1,depth-5046_iter-2,depth-5046_iter-3,depth-5046_iter-4,depth-5046_iter-5,depth-5046_iter-6,depth-5046_iter-7,depth-5046_iter-8,depth-5046_iter-9,depth-5046_iter-10,depth-5677_iter-1,depth-5677_iter-2,depth-5677_iter-3,depth-5677_iter-4,depth-5677_iter-5,depth-5677_iter-6,depth-5677_iter-7,depth-5677_iter-8,depth-5677_iter-9,depth-5677_iter-10,Size,Proportion,Reef_Habitat,Current,Location,Latitude_Longitude,Alignment
E7,0.4564340715748987,0.6497859158318828,0.6455904086281428,0.6455904086281428,0.6497859158318828,0.4564340715748987,0.6497859158318828,0.6497859158318828,0.4517052076278052,0.38551645649584865,1.9229808449009536,1.5858179329101776,1.7766057367575203,1.6849238574003564,1.3007896380523492,1.7352948257593677,1.616549801252403,1.7050260342390633,1.8145739938328145,1.8598771093015882,1.772861069406813,1.963530773002275,1.6919619658621605,1.8733812998010286,1.9482323857219992,2.0326524432465334,1.8615540088802476,1.758383552637771,1.9538368626797302,1.700231132901704,1.7584292060251365,1.7464575892509995,1.86249685017474,2.064206495951597,2.016042218858654,1.8537194209472938,1.9903937583563072,1.7990946591491457,1.8793807642891056,1.6797909724825724,2.029807721457451,2.05156302714081,1.994409930619418,2.050421295880347,1.9019591850933772,2.037997301272784,1.9739207013866849,2.0247599703325028,2.060037015099898,2.0856276832877643,2.008738412813409,2.0451423334371537,2.081297465792864,2.046181179653589,2.058339965874966,2.077252623695616,2.0761693671410972,2.0588279327500003,2.041001160356223,1.981293135736534,2.0939961345348745,2.0939961495348745,2.0683348189870303,2.054481923749525,2.0587319328280573,1.9934796363237637,2.037997311272784,2.0814611976448685,2.0939961395348745,2.085251552619135,2.037997316272784,2.085589512665221,2.0939961445348745,2.0939961495348745,2.0588279427500003,2.089867819514522,2.0846466713707286,2.062956257770353,2.0939961395348745,2.0069574195082622,2.058716131543595,2.089758976532001,2.0897560183081167,2.0939961445348745,2.0028291044879096,2.0939961445348745,2.0939961495348745,2.0939961445348745,2.0939961445348745,2.089867829514522,2.062956257770353,2.0939961495348745,2.0939961495348745,2.0939961495348745,2.0939961495348745,2.062956252770353,2.0939961495348745,2.0939961495348745,2.0939961495348745,2.0939961395348745,ThreePointFive,Large,Reef Rubble,Medium,Culebra,"18.302451, -65.309386",East
H1,0.6497859158318828,0.6455904086281428,0.6455904086281428,0.4564340715748987,0.6497859158318828,0.6455904086281428,0.6497859158318828,0.6455904086281428,0.6497859158318828,0.6497859158318828,1.8624479291500085,1.9480256832327085,1.8820560497297043,2.025133551634584,1.919530007760586,1.9382793688093094,1.8987698026519135,2.14209824236522,1.737519659195915,1.723879477545355,2.3286866636600414,2.032159237940017,2.149622276586362,2.1931033160877873,1.9841255062251641,2.0179813781105187,2.004220902859657,2.199184837133204,2.300075184592588,2.1307885520942818,2.277054537866776,2.2067872962427413,2.180717668167976,2.3209293519648133,2.2126418376099015,2.369527975578251,2.254159248762524,2.288023051653569,2.508364040763236,2.249012869950472,2.388722943133912,2.5082290157001266,2.124763014909148,2.504662742486732,2.320930382664194,2.3310585028993307,2.304143414137733,2.406051511876495,2.442761160326309,2.380079036417956,2.5087431568617817,2.4938794198119982,2.2743992596086287,2.4511709313409744,2.0629536085914992,2.410575622929108,2.439397202277282,2.439397202277282,2.5037488145672295,2.388252663020973,2.3882516273215924,2.512980337658623,2.4511709363409744,2.508364050763236,2.3957118520083247,2.512980332658623,2.4511709313409744,2.4148127498549496,2.5083650964626165,2.28754184354562,2.512980337658623,2.4511709363409744,2.340030269811438,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980332658623,2.512980332658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,2.512980337658623,,,,,,,,,,,Two,Small,Rocks,Calm,Guanica,"17.934784, -66.957102",South
D1,0.43098219925297254,0.4564340715748987,0.4564340715748987,0.5431176922284067,0.4564340715748987,0.4267667841514742,0.41429966163701293,0.43098219925297254,0.435376907919923,0.43098219925297254,2.9512596067475294,3.001445885662537,3.065814844880679,3.0307437942245627,3.0847155008560896,3.081379716512665,2.4660216029215842,3.0319861343850354,3.1062584812588336,3.4446227094545794,3.5448625904993465,3.6595872375772274,2.9711902157670993,3.586268293706821,3.489451150247711,3.5720937946921882,3.4460803608651043,3.5082772102665993,3.718034870343195,3.413087411108937,3.6532988355954084,3.782570640469751,3.996195913006398,4.138362177385016,3.883987312408163,3.6103310314523216,3.928958218404362,3.5855779781012904,4.006726402625559,3.7441736636268135,4.171978507935035,3.979979892807741,4.059365290396693,4.084337610343047,4.072724316204203,4.0339220919928085,3.9836244931726283,4.123069287678463,4.185961921512114,3.9595163313662285,4.189385299849289,4.194184549186733,4.153125315961935,4.091926319925351,4.202205336808852,4.097468506014211,4.144618539295784,4.203042369515481,4.206355582956579,4.193717661469869,4.123635659959522,4.106387534358385,4.2021466603258615,4.136272749431786,4.152908729476788,4.2291816745875055,4.206988452036288,4.145165194325504,4.2165420673835,4.1189998508478425,4.2417990748235095,4.237648828675783,4.23293917080621,4.214802045065603,4.232939160806211,4.237594439903087,4.24179906982351,4.237143785726634,4.145165209325503,4.237143795726634,4.2375944449030865,4.2417990748235095,4.2375944449030865,4.2417990748235095,4.136272758378189,4.199100630612857,4.221798370282791,4.2417990748235095,4.2417990748235095,4.228857238566316,4.2417990748235095,4.21945733416248,4.24179906482351,4.2417990748235095,4.2417990748235095,4.2417990748235095,4.24179906982351,4.2417990748235095,4.24179906982351,4.24179906982351,TwoPointFive,Medium,Seagrass,Strong,Luquillo,"18.387573, -65.719616",North
G6,0.4564340715748987,0.4517052076278052,0.5532966894097626,0.4564340715748987,0.4517052076278052,0.4517052076278052,0.4517052076278052,0.4564340715748987,0.5035769276424871,0.3871782387023961,2.4801661382671853,2.4497859663760053,2.331525595564016,2.4132090771183643,2.3048541567125342,2.891645195522234,2.4650726075932283,2.789659730565924,2.294226509415196,2.1962437835077773,2.736918757793741,2.8779028845188837,3.014614523489123,2.5785385229586133,2.715461382835179,2.808520516451184,2.4762571933932027,2.901062509038489,2.892245423119251,2.8350999425183745,2.7884175482780793,3.1459498057820583,2.5448779685545104,3.064917126198303,2.807556860783923,2.7755934178894455,3.0351228935766357,2.8510059805625714,2.7168703302223474,2.905556327268217,2.9156159009323948,2.875342493969138,3.1459497897820583,2.939031684695987,2.9470967796914485,3.0686495237627187,2.9912397038183465,3.1459710385933723,3.0049628437140146,3.088384370420223,3.145949804782058,3.1501652156390083,3.145949804782058,3.1501651946390083,3.1501652156390083,3.1403626011093606,3.0744196780600705,3.035536413585378,3.048879674017941,2.8802543990784817,3.0468826646325637,3.1459498107820583,3.1501651996390083,3.154327310469513,3.001063566159308,3.1356113201742994,3.010624802244438,3.1459498107820583,3.1460243636198175,3.064487443932214,3.150111911612563,3.154327299469513,3.1501864584503223,3.154327316469513,3.1501864644503224,3.1460243636198175,3.0966873402699187,3.1501652156390083,3.154327316469513,3.1501864594503224,3.154327316469513,3.154327316469513,3.154327316469513,3.154327316469513,3.154327316469513,3.154327316469513,3.046882670632564,3.154327316469513,3.154327316469513,3.1501652156390083,,,,,,,,,,,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,"18.218831, -65.604282",North
G4,0.6497859158318828,0.6491421322395348,0.5290653656049344,0.5490595402544534,0.6455904086281428,0.6455904086281428,0.6449414081637155,0.4564340715748987,0.4517052076278052,0.4517052076278052,2.522861165850667,2.167031225406812,2.2036053820635515,2.0961779027847167,2.2283658662480827,2.034084721347954,1.8757565373224732,2.456563121563999,2.18854777502891,2.0565554765071483,2.174619296567491,2.801652197284055,2.644636767375527,2.5267823787538606,2.5893143250796538,2.6740770564490015,2.5991636325737733,2.3657707901164144,2.378742266150046,2.6581616052210433,2.237168019218885,2.7347122124237364,2.8656218605061046,2.881326405698525,2.5955781338926,2.718714726745632,2.680860133399618,2.8504876959082655,2.8222414588443665,2.772705834901834,2.8901967967514017,2.770084373309758,2.840261462389312,2.8261341494744543,2.607364691351903,2.87531558728107,2.7325905835201016,2.8136824622346834,2.8266144866417315,2.5898606045116654,2.6107462019604615,2.8551426768596437,2.774321506166922,2.885467259702635,2.83831308120312,2.8986711076114395,2.8939198326612976,2.8986711126114395,2.857453186431991,2.840679215389785,2.8986711076114395,2.8944339697542754,2.894433944608566,2.8986711076114395,2.8944339697542754,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8901968017514017,2.778558684169796,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,2.8986711126114395,,,,,,,,,,,,,,,,,,,,,TwoPointFive,Medium,Spur & Groove Reef,Medium,Ceiba,"18.218831, -65.604282",North
G5,0.4517052076278052,0.4517052076278052,0.4517052076278052,0.4564340715748987,0.4517052076278052,0.435376907919923,0.4517052076278052,0.4564340715748987,0.4564340715748987,0.4564340715748987,2.078206653510891,2.116394328467829,1.9476977023783157,2.1243449848049507,2.1700403452115236,2.2045762517102334,2.0278269106426463,2.1808064858624814,2.237638719894273,1.9676594615818188,2.399548270176954,2.390285897559615,2.008213566641452,2.5542052429365096,2.399550108363168,2.2851695296315917,2.4969285816264017,2.3795341173148223,2.547289898522056,2.5612999716734954,2.7176365653362735,2.340055096454116,2.6548131409993836,2.689529765055762,2.717668531464389,2.527199426324354,2.131105704601712,2.527822410346256,2.5583335579334268,2.6398840012338622,2.6634791788023575,2.6831413516793163,2.686710760464868,2.6628561897804555,2.717668526464389,2.6773431724887105,2.6825824504445155,2.5152169895668193,2.681991461666277,2.682614406572631,2.5430335934583708,2.5373569604667683,2.6825824504445155,2.6819594664226134,2.7217968464847417,2.6914940206352385,2.721764890356626,2.6825824454445155,2.721764885356626,2.721764880356626,2.7265481505269964,2.6914940256352384,2.7265481455269964,2.7265481505269964,2.5870953374560686,2.7176365753362735,2.7176365703362735,2.722419835506644,2.7265481505269964,2.722419835506644,2.7265481505269964,2.7265481505269964,2.7265481505269964,2.722419835506644,2.7265481505269964,2.7265481505269964,2.722419830506644,2.721764890356626,2.7265481505269964,2.7265481505269964,2.7265481505269964,2.7265481505269964,2.7265481505269964,2.721764890356626,2.7265481505269964,2.7265481505269964,2.7265481505269964,2.722419835506644,2.7265481505269964,2.7265481455269964,,,,,,,,,,,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,"18.218831, -65.604282",North
A4,0.5490595402544534,0.4693325201397931,0.6455904086281428,0.435376907919923,0.4564340715748987,0.4735516329352998,0.4735516329352998,0.4735516329352998,0.4517052076278052,0.39192947965926406,3.5410710749476193,3.5311921906267236,3.1399167176726284,3.563315658572004,3.249932516719512,3.2887436529710103,3.171585367734418,3.858807902136424,3.1000032498761056,3.3525590106756233,3.730386733040477,3.5376186729038905,3.3784038914975856,3.981416422141617,3.406297223220213,3.7313244212735674,3.646078581487783,3.2757983939794513,3.5909559142057454,3.8011266610251937,3.991593997957208,3.6965887320893285,3.9261822683179304,4.2065587430343605,3.7479842043507228,3.686853831642178,4.244180928801717,3.822696383188109,3.9441404963822113,4.122939372977804,4.030328929844603,3.9241454546713754,3.863417875961271,3.960819203758212,3.748181312445334,4.066409502163248,4.170955771168172,3.9616796510668024,4.075906968973596,4.246429819201529,4.351060434596213,4.046559274059168,4.1138205322680514,4.083475724901062,4.25716353000276,4.273895155058773,4.084198374820351,4.2783846870204325,3.9786498208961256,4.208748512023538,4.333611693095794,4.211338017777289,4.3596521325361515,3.811401879491846,4.0814798117510325,4.2644896490160065,4.355035850640766,4.283335883444973,4.351245517308031,4.325205067867673,4.296095198936479,4.359652127536153,4.3596521325361515,4.350284563705704,4.3596521325361515,4.350284568705703,4.322383204116475,4.314510785249169,4.091103540199016,4.30718807322666,4.124603786833963,4.312337416430111,4.3197588028582885,4.329636292051243,4.359652137536152,4.286937857840589,4.32861224577163,4.30758612949505,4.338227979991181,4.338227979991181,4.359652137536152,4.359652137536152,4.359652137536152,4.338227974991181,4.32861224577163,4.359652137536152,4.3596521325361515,4.359652137536152,4.3596521325361515,4.3554149765181975,TwoPointFive,Medium,Rocky Reef,Medium,Rincon,"18.343114, -67.260138",West
F2,0.4517052076278052,0.5490595402544534,0.4564340715748987,0.41429966163701293,0.4693325201397931,0.4311525539843535,0.4735516329352998,0.4517052076278052,0.4517052076278052,0.4517052076278052,1.4567425052030147,1.6306093703511189,1.9869706095230986,1.56878044990929,2.017983615614633,1.892149201299616,2.167148490141698,1.9886362080818958,1.6146074908689783,2.043930463464548,1.9678874805239555,2.0296938956093653,2.3873816686164826,2.1953845105500824,1.629002800313617,2.1862955134323308,1.6295139744490656,1.9918673279120571,2.018431634324071,2.010018476432589,2.352726211863692,2.1222114634078606,2.1848623277554324,2.0756517021747714,2.3139712913198296,2.039189994626804,2.189394083822302,2.192282421042215,2.043339079591151,2.197068907612129,2.3738887106596307,2.4008793295295945,2.167177712714154,2.3536416871069745,2.3363751335784895,2.2012310224124723,2.239217032137571,2.4125621783726494,2.4173134523914688,2.2105985983266785,2.4171784542680363,2.2059823274312915,2.4171784542680363,2.3826709784746747,2.400501111958027,2.189001534471021,2.3915772118202225,2.4092794976537575,2.3733125402771513,2.4177251243664326,2.4219297492868557,2.4173134733914687,2.1979483416935803,2.4092794926537575,2.1896136117742517,2.3961934987156095,2.4173134833914687,2.4219297542868556,2.4219297592868556,2.4092794976537575,2.4219297382868556,2.2063939734062554,2.4219297592868556,2.4219297592868556,2.4177251293664326,2.4219297592868556,2.3821243553762783,2.4219297542868556,2.4219297592868556,2.4171784802680363,2.4092794976537575,2.4046632217583706,2.4219297592868556,2.4219297592868556,2.4219297592868556,2.3284900908698787,2.4173134833914687,2.4219297592868556,2.408400083572306,2.4219297592868556,,,,,,,,,,,OnePointFive,Small,Rocks,Calm,Guayama,"17.929801, -66.158912",South
G7,0.6497175244031643,0.6455904086281428,0.6497175244031643,0.6455904086281428,0.4564340715748987,0.6455904086281428,0.6497175244031643,0.6497175244031643,0.6539130376069044,0.6455904086281428,1.755036665930843,1.9593683717432078,1.922975031317459,1.8090856418152188,1.7399563332736392,2.126841606277593,1.8424680321730098,1.9466563888890738,1.5722466708939455,2.1987195892860707,1.992186648719409,2.254636117724678,2.034913789383925,1.9602014992451364,1.953857713503079,2.1812435575987164,2.230123435736881,2.1320438903134926,2.0626669184661455,2.296814451118247,2.4118752445216614,2.3498593189105597,2.130512934744453,2.4906499280425196,2.400305211400166,2.2256537901068514,1.8507900167435984,2.455429152456776,2.2340542084368353,1.9166822778531842,2.3665413887580384,2.1368889116278664,2.4094624343856053,1.9862612014815788,2.499072811536342,2.49903635881532,2.2422361608425563,2.388209018605223,2.264086028485803,1.9487795650160211,2.302677490619675,2.460180445499031,2.498901346668452,2.358676328881766,2.2640988843403487,2.0512356527282196,2.4085482270693306,2.503652657352239,2.469033913191259,2.404446079419357,2.362913504678607,2.5032735506121613,2.5032735556121612,2.2733267193943467,2.3530635170526533,2.413686754327901,2.49903635981532,2.5032735506121613,2.358676333881766,2.503652650710707,2.507889826507548,2.5032735506121613,2.5031385274652935,2.5032735446121612,2.503652650710707,2.5031385224652936,2.256556874675646,2.3970624702974512,2.5078898215075482,2.5032735506121613,2.507889831507548,2.507889826507548,2.5032735506121613,2.422540222020129,2.503652655710707,2.507889826507548,2.503652650710707,2.507889831507548,2.507889826507548,2.503652650710707,2.507889831507548,2.507889831507548,2.507889831507548,2.507889826507548,2.507889831507548,2.507889826507548,2.413299536111585,2.507889826507548,2.507889831507548,2.507889831507548,TwoPointFive,Medium,Patch Reef,Medium,Ceiba,"18.218831, -65.604282",North
A8,0.4693325201397931,0.4735516329352998,0.41429966163701293,0.4693325201397931,0.39192947965926406,0.3871782387023961,0.4564340715748987,0.4564340715748987,0.4693325201397931,0.4564340715748987,2.322894384300736,2.127223400080976,2.3017027259474214,2.2416846096825465,2.298248190900287,2.050000805600553,2.5331080270356483,1.9426919585044988,2.3943146662269026,2.150114870655479,2.726604898874113,2.5885918171803315,2.848874894949191,2.778932542977472,2.517645540061112,2.737746477395269,2.494705534885343,2.7650594467419523,2.4843391533725065,2.23929874231159,2.850348694419343,2.8848081363949993,2.6932742786612125,2.912845014916286,2.928527769954428,2.782326597102498,2.8640031351595847,2.925878219276518,2.937385413819355,2.8917924987971513,3.0242963929314235,2.998571780800247,3.045507356936742,2.958191143082668,2.9681617879066313,2.9028053047663347,2.998057637775947,2.9332168378765373,3.0190599480052938,2.907840690530508,3.0412702050109006,2.7269284756263246,3.036518910968646,2.994596374755695,2.680072273250219,3.0412702100109006,2.9986639516430214,2.988521734031669,2.9639530094097997,2.8085122360605443,2.9362082535507024,2.9985717758002473,3.0412701959187878,3.0412702200109005,3.0412829930011727,3.0412702100109006,3.0407560769866,3.045507351936742,3.045507346936742,3.045507361936742,3.0412702200109005,3.045507361936742,3.045507361936742,3.045507361936742,3.002808917726089,3.045507361936742,3.0024143116946114,3.045507356936742,3.002808917726089,3.045507356936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,3.045507361936742,,,,,,,,,,,Three,Medium,Rocky Reef,Medium,Rincon,"18.343114, -67.260138",West
